transaction_id,post_date,merchant_name,merchant_category,amount,transaction_type,statement_balance
CC-001,2024-01-03,MCDONALD'S #3847,Dining,8.45,debit,8.45
CC-002,2024-01-04,AMAZON.COM,Shopping,67.32,debit,75.77
CC-003,2024-01-05,RACETRAC #1092,Gas & Transport,48.10,debit,123.87
CC-004,2024-01-06,PUBLIX SUPER MARKETS,Groceries,94.21,debit,218.08
CC-005,2024-01-08,ADOBE INC,Subscriptions,54.99,debit,273.07
CC-006,2024-01-09,OLIVE GARDEN 0094,Dining,43.60,debit,316.67
CC-007,2024-01-10,CVS PHARMACY #8812,Health,22.47,debit,339.14
CC-008,2024-01-11,DELTA AIR LINES,Travel,284.00,debit,623.14
CC-009,2024-01-13,STARBUCKS #11204,Dining,6.85,debit,629.99
CC-010,2024-01-14,APPLE.COM/BILL,Subscriptions,2.99,debit,632.98
CC-011,2024-01-15,PAYMENT RECEIVED - THANK YOU,,-632.98,credit,0.00
CC-012,2024-01-16,HOME DEPOT #0451,Home Improvement,113.76,debit,113.76
CC-013,2024-01-17,CHICK-FIL-A #02847,Dining,11.34,debit,125.10
CC-014,2024-01-19,COSTCO WHSE #0842,Groceries,187.43,debit,312.53
CC-015,2024-01-20,LYFT *RIDE,Gas & Transport,14.25,debit,326.78
CC-016,2024-01-22,HULU,Subscriptions,17.99,debit,344.77
CC-017,2024-01-23,WALGREENS #4521,Health,31.18,debit,375.95
CC-018,2024-01-25,CHEESECAKE FACTORY,Dining,67.40,debit,443.35
CC-019,2024-01-27,BEST BUY 00031,Shopping,129.99,debit,573.34
CC-020,2024-01-29,FOREIGN TRANSACTION FEE,Fees,3.50,debit,576.84
